	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
CAMALEXIN-SYN	CPD-21441	CPD-21440	CPD-12634	CPD-12635	CPD-12636	INDOLE-CARBOXY-HYDRO-THIAZOLE	WATER	GLY																			
CHLOROPHYLL-SYN	OXYGEN-MOLECULE	PROTOPORPHYRINOGEN	PROTOPORPHYRIN_IX	PROTON	COPROPORPHYRINOGEN_III	WATER	MG-PROTOPORPHYRIN	ADENOSYL-HOMO-CYS																			
HISTSYN-PWY	PHOSPHORIBOSYL-ATP	PHOSPHORIBOSYL-AMP	PHOSPHORIBOSYL-FORMIMINO-AICAR-P	PHOSPHORIBULOSYL-FORMIMINO-AICAR-P	D-ERYTHRO-IMIDAZOLE-GLYCEROL-P	WATER	PPI	PROTON																			
LYSINE-DEG2-PWY	CPD-650	WATER	ALLYSINE	CPD-468	2K-ADIPATE	GLUTARYL-COA	GLUTACONYL-COA	CARBON-DIOXIDE																			
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	UDP-N-ACETYL-D-GLUCOSAMINE	CPD-190	NN-DIACETYLCHITOBIOSYLDIPHOSPHODOLICHO	ALPHA-D-MANNOSYLCHITOBIO	CPD-5161	CPD-5162	CPD-5164	CPD-5165	CPD-5166	CPD-5167	CPD-5168	CPD-5169	CPD-5170	DOLICHOLP	CPD-166	CPD-18076	Dolichol-PP										
NAGLIPASYN-PWY	UDP-N-ACETYL-D-GLUCOSAMINE	UDP-OHMYR-ACETYLGLUCOSAMINE	UDP-OHMYR-GLUCOSAMINE	OH-MYRISTOYL	BISOHMYR-GLUCOSAMINYL-1P	BISOHMYR-GLC	PROTON																				
NONOXIPENT-PWY	D-SEDOHEPTULOSE-7-P	RIBOSE-5P	RIBULOSE-5P	XYLULOSE-5-PHOSPHATE	GAP	ERYTHROSE-4P	FRUCTOSE-6P																				
P23-PWY	Menaquinols	SUC	ADP	CO-A	Pi	ATP	SUC-COA																				
PWY-1186	NAD	CPD-19486	2-OXO-5-METHYLTHIOPENTANOIC-ACID	2-Oxo-carboxylates	CPD-479	2-2-METHYLTHIOETHYLMALIC-ACID	CPD-19476	3-2-METHYLTHIOETHYLMALIC-ACID	PROTON	CARBON-DIOXIDE																	
PWY-1187	OXYGEN-MOLECULE	3-METHYLTHIOPROPANALDOXIME	CPD-12389	CPD-12390	CPD-12391	CPD-7546	3-METHYLTHIOPROPYLHYDROXAMIC-ACID	3-METHYLTHIOPROPYL-DESULFO-GLUCOSINOLATE	3-METHYLTHIOPROPYL-GLUCOSINOLATE	3-METHYLSULFINYLPROPYL-GLUCOSINOLATE	PROTON	WATER	3-HYDROXYPROPYL-GLUCOSINOLATE	3-BENZOYLOXYPROPYL-GLUCOSINOLATE													
